scenario,sadness,joy,love,anger,fear,surprise
"the annual carbon dioxide emissions, which increased by 40 percent since 1990, led to acidification of the oceans.",0.024782676249742508,0.11601579189300537,0.007788006216287613,0.20571525394916534,0.6376997232437134,0.007998545654118061
the carbon dioxide emissions and other anthropogenic greenhouse gases led to further progressive global warming of the climate.,0.16145789623260498,0.173565074801445,0.006483632605522871,0.5696571469306946,0.084375761449337,0.004460561089217663
the air temperature increases by an annual mean of 0.5°c.,0.09869915246963501,0.1582893282175064,0.006020051427185535,0.5549529194831848,0.17145317792892456,0.010585369542241096
"the precipitation in summer decreased by around 15 percent, while in winter it increases by up to ten percent.",0.03694630786776543,0.3424152135848999,0.0072151655331254005,0.2519876956939697,0.35445156693458557,0.006984037347137928
a further increase in carbon dioxide emissions is triggered by the rising global energy demand.,0.08997662365436554,0.23648080229759216,0.01904693804681301,0.2889876663684845,0.3432093858718872,0.022298552095890045
human interventions in the biosphere led to the loss of biological diversity.,0.0478956364095211,0.18612150847911835,0.00966352503746748,0.5975111722946167,0.14984442293643951,0.008963709697127342
"in view of the global population growth and in background of climate change, global food security is viewed as a difficult global challenge.",0.006455226335674524,0.9706760048866272,0.0029925836715847254,0.013160440139472485,0.004653855226933956,0.0020619456190615892
more than 500 million people in less developed countries suffer from malnutrition.,0.01556117832660675,0.9095398783683777,0.00436163367703557,0.055386655032634735,0.012522518634796143,0.00262818718329072
around 1.1 billion people have no access to clean drinking water.,0.00397093128412962,0.986247181892395,0.0018249130807816982,0.00562997767701745,0.0016573688481003046,0.0006696605123579502
around 2.6 billion people lack access to basic sanitation.,0.05041075125336647,0.6056035161018372,0.016503529623150826,0.1889219880104065,0.13092826306819916,0.00763202179223299
almost half of the world's population live in regions where water is scarce.,0.9370735287666321,0.00777410389855504,0.0014815869508311152,0.03267892822623253,0.019134551286697388,0.001857390976510942
the world is moving towards a global knowledge society.,0.022601036354899406,0.05595584586262703,0.012451409362256527,0.855823814868927,0.05032573267817497,0.002842278452590108
new key data in research and development (r&d) around the world supports the view on global r&d expenditure and on new forms of global cooperation.,0.14488258957862854,0.31497058272361755,0.016952281817793846,0.3649914562702179,0.14344914257526398,0.014753914438188076
the driver of r&d development is the widespread use of information and communication technologies and the digitization of information.,0.0736309215426445,0.18785955011844635,0.006272483617067337,0.22422084212303162,0.48928600549697876,0.01873018592596054
digitization globally expands education.,0.012968899682164192,0.024425065144896507,0.001739553059451282,0.08953807502985,0.8642874360084534,0.007040942087769508
the global educational landscape was shaped through the upswing of the knowledge economy.,0.04774821922183037,0.09447567909955978,0.0039732069708406925,0.7758527994155884,0.07346390932798386,0.004486181773245335
the explosive expansion of higher education around the world reshaped the education.,0.02920030616223812,0.2605520188808441,0.0053102923557162285,0.6038612723350525,0.09560825675725937,0.005467885173857212
"an increasing number of people are able to develop new educational opportunities, so that the global supply of highly qualified people increased significantly.",0.08650248497724533,0.08083800226449966,0.009641841053962708,0.6970868706703186,0.11687704175710678,0.009053723886609077
"due to the advancing use of technical innovations and the increasing digital character of culture, media literacy is the most important skill for unrestricted participation in society and employability.",0.059521954506635666,0.5172865390777588,0.01251265686005354,0.2803264558315277,0.12467250972986221,0.005679893773049116
service innovations play an important role in promoting participation.,0.01571868360042572,0.9573716521263123,0.003918376285582781,0.012803462333977222,0.007675201632082462,0.0025126205291599035
further innovations for the more intuitive operation of new devices and services help to alleviate the digital competence pressure.,0.04306109994649887,0.2114894688129425,0.006147828418761492,0.6134428977966309,0.11692244559526443,0.008936247788369656
lifelong learning is a basic requirement for the information and knowledge society.,0.029550915583968163,0.8395976424217224,0.014669119380414486,0.06653986126184464,0.045025575906038284,0.004616899415850639
"digital media offer effective possibilities here, but require a further, cognitive-neuroscientific and didactic investigation with regard to the possible negative impact on people.",0.061103932559490204,0.34640786051750183,0.010815360583364964,0.33808213472366333,0.2332872748374939,0.010303346440196037
"the integration of digital technologies in every area of life arouses fears among many citizens, differences in access to information and in the use of the available information must be discussed.",0.09178963303565979,0.37007346749305725,0.008714701980352402,0.27236422896385193,0.24438472092151642,0.01267333421856165
"the transfer and acquisition of knowledge have changed due to the continuously increasing use of computers and the internet, in addition to the increasing digital competence pressure, the effects of computer use on individual and social development are being discussed.",0.036239683628082275,0.14417588710784912,0.0062947990372776985,0.5713350772857666,0.2336006760597229,0.00835386011749506
knowledge and information are available everywhere in the form of large amounts of data due to digitization.,0.008913093246519566,0.9712606072425842,0.0028776265680789948,0.01052350178360939,0.004076705314218998,0.002348284935578704
"knowledge that a person had to learn and retain decades ago can now be stored digitally and called up at short notice and almost anywhere, many learning processes have changed as a result.",0.1128614991903305,0.018317820504307747,0.0015868268674239516,0.8184468746185303,0.04551897570490837,0.0032680677250027657
"to mention the active learning and memorizing of telephone numbers, have become almost superfluous.",0.0752473995089531,0.07246337831020355,0.014319511130452156,0.7463350296020508,0.08476125448942184,0.006873344536870718
the outsourcing of thinking about machines exposes citizens to increased digital competence pressure.,0.016404559835791588,0.6014939546585083,0.0057618399150669575,0.06782586127519608,0.1362794041633606,0.17223434150218964
controversial debates about the effects of outsourcing knowledge and thinking on human development are unsettling society.,0.0620393306016922,0.31574827432632446,0.011352644301950932,0.33136773109436035,0.2641945779323578,0.015297493897378445
"the extreme position that due to the increased use of digital media, people's intellectual performance is reduced, combined with the requirement to limit media consumption to a necessary minimum.",0.11817221343517303,0.08089351654052734,0.0028105417732149363,0.3881402909755707,0.4044567942619324,0.005526650696992874
"media didactics claim that media use stimulates creativity, stimulates thinking and has, among other things, positive neurological effects.",0.043578147888183594,0.7841470241546631,0.008119707927107811,0.09192997217178345,0.06366559863090515,0.008559499867260456
the decoupling of the world of learning and living from digital media is no longer possible.,0.09532517939805984,0.2915923297405243,0.008476301096379757,0.3365773558616638,0.257711261510849,0.010317628271877766
the growing shortage of skilled workers and the falling half-life of specialist knowledge poses a societal design task.,0.03736294433474541,0.1302703469991684,0.0069365897215902805,0.6880447268486023,0.1313657909631729,0.006019602995365858
the canon of education and skills was be re-designed since knowledge that previously had to be learned can now be easily researched.,0.0698041170835495,0.23229026794433594,0.007767402101308107,0.17877089977264404,0.5004007816314697,0.01096655149012804
"in addition to public participation to formulate and advise on research agendas, citizens are doing research on their own.",0.033509496599435806,0.6076963543891907,0.007656563073396683,0.2014474719762802,0.07176803052425385,0.07792206108570099
"the focus of citizen research is weather research, biology, health, nature and environmental protection, but also archeology, cryptology, information science, amateur drones and space research.",0.055993590503931046,0.07792656123638153,0.01100423838943243,0.6580184102058411,0.17492184042930603,0.02213539369404316
the decentralized of knowledge production poses a challenge for society and the scientific system.,0.03526492416858673,0.07214957475662231,0.006602680776268244,0.8583143353462219,0.022106502205133438,0.00556199811398983
"citizen research is able to solve societal tasks, such as the preservation of biodiversity or the deciphering of protein folds.",0.06207316368818283,0.34435534477233887,0.011883329600095749,0.37809887528419495,0.16125746071338654,0.042331818491220474
citizen research in biohacking poses a danger in the field of genetic manipulation by amateurs.,0.0463285855948925,0.6461948156356812,0.007654336281120777,0.18993286788463593,0.10254427790641785,0.0073451874777674675
the us and uk are pioneers in citizen research.,0.06394580006599426,0.31582239270210266,0.009790681302547455,0.4076322615146637,0.19475819170475006,0.008050711825489998
"drivers and dynamics of citizen research are mostly curiosity, or as a meaningful activity and form of social participation.",0.07780487090349197,0.28349101543426514,0.013541674241423607,0.3345080614089966,0.278226763010025,0.012427672743797302
"citizen research evolves through powerful information and communication technology, open access, cheaper laboratory equipment and new measuring devices or apps for smartphones.",0.014762387610971928,0.8927332162857056,0.004473777022212744,0.07444407790899277,0.010235855355858803,0.0033507279586046934
crowdfunding increases and enables citizen research.,0.03473486378788948,0.03220449388027191,0.002783778589218855,0.3347957730293274,0.5924147963523865,0.003066291566938162
there is an increase in use of 3d printers in the private sector and research activities in civil society.,0.009067165665328503,0.013011199422180653,0.001295918133109808,0.9338810443878174,0.04188404977321625,0.0008607142954133451
governments and companies support citizens' research in some cases in order to increase the legitimacy and acceptance of research and innovation.,0.024049002677202225,0.11025616526603699,0.00956519041210413,0.7058373093605042,0.14703835546970367,0.0032540445681661367
the focus of citizen research programs are societal challenges and the increasing opening of in-house innovation.,0.05842917785048485,0.3838900923728943,0.007935806177556515,0.5246118307113647,0.02152244560420513,0.003610634710639715
"due to the complexity of the scientific system and the often tense relationship between established researchers and citizen researchers, citizen research faces challenges.",0.04957447946071625,0.3475968539714813,0.006221716292202473,0.3717208802700043,0.2186771035194397,0.006208984646946192
"german research institutions are increasingly having to deal with new participation requirements, especially at the eu level.",0.06657472997903824,0.3259165287017822,0.01297770719975233,0.1777501255273819,0.4023333191871643,0.014447647146880627
there is a lack of processes and routines for the legitimate and effective integration of citizens into research practice.,0.3973337709903717,0.02349061891436577,0.004007942043244839,0.4999236464500427,0.0700163021683693,0.0052277627401053905
"the independence of citizen research harbors dangers: genetic manipulation by amateurs, biohacking, can contribute to the uncontrolled entry of genetically modified organisms into the environment.",0.13855168223381042,0.0501566082239151,0.00927767064422369,0.2845523953437805,0.5051919221878052,0.01226975116878748
the blurring line between non-scientifically qualified citizens with research ambitions and scientists is referred to as the “scientification of society” and the “democratization of science”.,0.02081434428691864,0.3415868580341339,0.009367602877318859,0.566990077495575,0.058215074241161346,0.0030260467901825905
"the need for society and research to learn from one another is increasingly recognized, but the implementation is still pending.",0.06530535966157913,0.15122994780540466,0.005299870856106281,0.6212863922119141,0.1479305624961853,0.008947931230068207
"the igem49 initiative with its competitions, are pioneers in the initiation and implementation of citizen research.",0.05124155804514885,0.1581675261259079,0.008179249241948128,0.2496955543756485,0.5144738554954529,0.018242236226797104
"the contract between science and society is changing, resulting in completely new concepts of research policy to use the opportunities of citizen research and to manage their risks.",0.004212194122374058,0.9554535746574402,0.0030765521805733442,0.023112738505005836,0.010039815679192543,0.004105092491954565
an excellent research environment includes easy and inexpensive access to scientific knowledge.,0.036697737872600555,0.2049194723367691,0.007706137374043465,0.5346454977989197,0.2023191750049591,0.01371199730783701
young scientists are financially heavily burdened by the common practice of having research work published by private publishers.,0.11548399925231934,0.2134295105934143,0.00908105168491602,0.3041073977947235,0.3374364376068115,0.020461587235331535
university and research institute libraries suffer from the cost burden of journal subscriptions.,0.010287221521139145,0.03503318876028061,0.005491386633366346,0.5133501291275024,0.4325779974460602,0.0032601282000541687
society increasingly demands free access to knowledge financed by taxpayers' money.,0.03506600484251976,0.3517847955226898,0.005267238710075617,0.19167043268680573,0.4099114239215851,0.006300092209130526
"open access, free access to scientific knowledge such as primary data or scientific literature enable free access to knowledge.",0.04090653732419014,0.6316523551940918,0.006308318115770817,0.19930055737495422,0.10921677201986313,0.012615504674613476
the berlin declaration on open access to scientific knowledge is adopted by 19 international research organizations and has been signed by a total of 363 national and international research institutions.,0.16927500069141388,0.033359330147504807,0.01435855496674776,0.19923126697540283,0.5733030438423157,0.010472829453647137
the initiators are in favor of publishing publicly financed scientific papers free of charge instead of having them published exclusively by publishers.,0.10480090975761414,0.2287430763244629,0.007552166003733873,0.5617905855178833,0.08912941813468933,0.007983786053955555
they call for the complete revision of the previous scientific publication structures.,0.06134407967329025,0.053149376064538956,0.00334484176710248,0.8497057557106018,0.030177302658557892,0.002278692089021206
knowledge that was previously financed by the general public is now re-financed by the public purse.,0.011407253332436085,0.02028750441968441,0.0011588279157876968,0.021251162514090538,0.9429051876068115,0.0029900050722062588
"all citizens can use scientific publications via the internet in every conceivable, legal way.",0.02159346640110016,0.9484567642211914,0.0023609923664480448,0.020572355017066002,0.005296879447996616,0.0017195014515891671
the prescribed publication via open access has a far-reaching encroachment on the freedom of the press and publication as well as the freedoms of the author.,0.13076861202716827,0.2756812572479248,0.01157623901963234,0.21907450258731842,0.35112959146499634,0.011769762262701988
"open access has been taken up at the level of the european union, but there is still an urgent need for clarification regarding the design of global implementation.",0.07962621748447418,0.4089198112487793,0.008741408586502075,0.3443892002105713,0.1501726359128952,0.00815071351826191
"the handling of open access authors' copyrights, the technical implementation options, the necessary quality assurance as well as the possible publication and financing structures still need regulations.",0.1531805694103241,0.15326038002967834,0.01035506185144186,0.6061739921569824,0.06603197753429413,0.010998005047440529
"the different financing models for open access have a more precise consideration, as they equally affect the authors, scientific institutions and the scientific publishers involved in the publication.",0.33518552780151367,0.04278441518545151,0.0044867717660963535,0.5424062609672546,0.07079552114009857,0.004341468680649996
"it is particularly important to explore the opportunities, but also the risks, of the various open access publication models.",0.08544978499412537,0.3499259352684021,0.015615317039191723,0.3428250849246979,0.18666893243789673,0.019514916464686394
"research is fast, simple and inexpensive: free access to the latest scientific publications is essential for all research and innovation efforts.",0.0622284896671772,0.2179824262857437,0.013207280077040195,0.4057001769542694,0.28798896074295044,0.012892736122012138
"improving access to knowledge in the fields of education, science, culture and the media shows positive effects on innovation.",0.03095765970647335,0.4373812973499298,0.0053564272820949554,0.4758034646511078,0.04567710682749748,0.004824040923267603
"much of the public research is funded by society, since the knowledge society is an essential basis of economic and social coexistence.",0.0622531995177269,0.6102458238601685,0.00966663472354412,0.15051014721393585,0.15998759865760803,0.007336587645113468
free and real-time access to the research results financed in this way is therefore seen by many stakeholders as a logical step.,0.03463349491357803,0.43791112303733826,0.005191502161324024,0.1632687747478485,0.33931419253349304,0.019680943340063095
"university budgets are falling further and pressure from society increases, and good higher education in the us is more expensive then ever.",0.015915824100375175,0.09893292188644409,0.006661085411906242,0.8693756461143494,0.006562360096722841,0.0025521668139845133
"at us american state universities, a bachelor's degree often costs more than $ 35,000 in fees, tuition fees for training at a research university now often exceed the capabilities of many families.",0.05555349960923195,0.25814497470855713,0.013114400207996368,0.3666211664676666,0.28646740317344666,0.020098598673939705
"there is a great unmet need for higher education, the situation is currently intensifying the development of online universities as a growth market.",0.10253707319498062,0.1653120368719101,0.013405402190983295,0.529867947101593,0.17877742648124695,0.010100147686898708
the development of online universities is a growing market in which commercial players are repositioning themselves.,0.01224697008728981,0.3295436501502991,0.005649231374263763,0.09157449752092361,0.5525017976760864,0.00848386064171791
start-up companies such as coursera or udacity that offer online lectures are attracting attention more than ever.,0.06688492745161057,0.2531643509864807,0.015407665632665157,0.4888908863067627,0.15976543724536896,0.015886763110756874
informal education manages to collect substantial venture capital and enter into collaborations with well-known universities.,0.044710539281368256,0.180934876203537,0.004902114160358906,0.4271034002304077,0.32762080430984497,0.014728246256709099
"unofficial education institutes have access to more than 100,000 online students for individual lecturing sessions.",0.0539388582110405,0.2602287530899048,0.010604673996567726,0.27067574858665466,0.38737329840660095,0.01717868633568287
bertelsmann is investing a double-digit million amount in a virtual university.,0.02028883434832096,0.570835530757904,0.008270146325230598,0.23707079887390137,0.1523217111825943,0.011213052086532116
"due to the range of online offers, the university landscape changed significantly globally.",0.08536336570978165,0.09226962924003601,0.0069989836774766445,0.5240616798400879,0.28410759568214417,0.007198691368103027
"in germany, the cost of university entrance is still much lower than in the usa.",0.07952851802110672,0.31231608986854553,0.0159024465829134,0.43684229254722595,0.14436359703540802,0.011046971194446087
"students learn from the best professionals in the world, such as nobel prize winners or successful entrepreneurs, via distance learning.",0.03580404445528984,0.2184649556875229,0.004144036211073399,0.321004182100296,0.41259774565696716,0.00798507034778595
"virtualization fundamentally changed the entry requirements for higher education, while globalization established university branches abroad.",0.027353355661034584,0.8538379669189453,0.004166741855442524,0.053618911653757095,0.05571204423904419,0.005310867913067341
the disruptive potential of online universities could develop further because students in social networks are already discussing and archiving questions and answers online.,0.0588381327688694,0.6004952192306519,0.007862440310418606,0.2596411108970642,0.061894599348306656,0.01126854121685028
obstacles of distance learning are the dangers of cheating in exams as well as the adequate consideration of academic achievements.,0.08555106073617935,0.3956384062767029,0.020553959533572197,0.23558193445205688,0.23191700875759125,0.030757542699575424
universities still are part of the innovation system.,0.030942339450120926,0.16122132539749146,0.00710969977080822,0.49752989411354065,0.2853115200996399,0.017885198816657066
"the traditional model of research and teaching at universities has been remodeled fundamentally: exams are open-book, virtuality is the new normal and buildings are only needed for in-person collaboration.",0.0013673134380951524,0.9937153458595276,0.0010024522198364139,0.002306107198819518,0.0009232130250893533,0.0006857282132841647
"universities are a central element in the knowledge society, a profound change in higher education also has far-reaching effects on the knowledge society.",0.01915714517235756,0.03230821713805199,0.005186509341001511,0.3608223795890808,0.5768685936927795,0.005657141096889973
simplified forms of access and reduced costs through online universities or other forms of digitization in education increased participation in the knowledge society globally.,0.02782699652016163,0.09546611458063126,0.005402440205216408,0.7605254650115967,0.10564805567264557,0.005130883771926165
new starting points for easier access to higher education in germany improved the quality of study.,0.08215590566396713,0.07500695437192917,0.012663646601140499,0.08802685886621475,0.7262072563171387,0.015939394012093544
knowledge and knowledge transfer opened up research contributions from science for the economy and provides impulses for the direction of science.,0.0570848174393177,0.21451932191848755,0.014078740030527115,0.2139853537082672,0.48157671093940735,0.01875513605773449
"the need to promote knowledge transfer is undisputed: intensive efforts to improve knowledge transfer are a goal in germany as well as in japan, the usa and the rest of europe.",0.057997122406959534,0.11997506767511368,0.010016432031989098,0.6367961764335632,0.1641264259815216,0.011088766157627106
"countries such as china, taiwan, india, singapore and south korea are relying on open knowledge transfer.",0.02014528401196003,0.22545179724693298,0.00599792692810297,0.15346649289131165,0.5914254188537598,0.0035131238400936127
the main focus of open knowledge transfer is to make the knowledge generated in universities usable for the achievement of social goals.,0.02395700290799141,0.02465425804257393,0.0045348708517849445,0.21367931365966797,0.725860059261322,0.007314498536288738
sectors of the higher education landscape in which knowledge transfer is successful are experiencing a change in academic culture: they dedicate themselves to the achievement of social goals.,0.031269773840904236,0.8261491656303406,0.006221730727702379,0.0793883353471756,0.05138862133026123,0.005582439247518778
"due to the increasing transfer activities at universities, a change in the role identity of university researchers can be observed: in addition to the academic core identity, there is now a secondary economic identity in individual cases.",0.09955167025327682,0.1399848908185959,0.007211649790406227,0.5155426263809204,0.22718752920627594,0.010521703399717808
"a long-standing debate in the usa about how to deal with possible conflicts of interest in research, which is particularly intense in medical research arises: shall they freely publish all medical research?",0.09619174897670746,0.20583626627922058,0.01863679848611355,0.27969828248023987,0.3886205852031708,0.01101632509380579
companies use academic knowledge as a source leading to them making their own scientific contributions and publishing them in academic discourse.,0.01354517787694931,0.9061221480369568,0.0032180650159716606,0.060135096311569214,0.012002736330032349,0.0049766735173761845
the publication frequency of scientists with industrial support is twice as high as that of other scientists.,0.01572822593152523,0.07086897641420364,0.0028191523160785437,0.1182444617152214,0.7729865312576294,0.019352635368704796
studies show that academic inventors publish better scientific articles than their non-patenting counterparts.,0.06877361238002777,0.4028922915458679,0.008302683010697365,0.49681171774864197,0.02019442431628704,0.003025356912985444
cooperation projects generate academically valuable insights and ideas. the projects are application-oriented and do not lead directly to results that can be published.,0.019489377737045288,0.046628981828689575,0.0038648871704936028,0.7497491240501404,0.17489099502563477,0.005376672837883234
the increase in knowledge transfer can itself change the type and scope of scientific exchange and thus the academic culture in institutes with a high rate of third-party funding.,0.04315759614109993,0.13418437540531158,0.01839912123978138,0.775909423828125,0.02393392287194729,0.004415604751557112
"it is regarded as an open question what relevance, size and impact the increase in knowledge transfer has on which fields of research and innovation.",0.006363093852996826,0.9241606593132019,0.007658726070076227,0.05595654249191284,0.0046176910400390625,0.001243268488906324
the efforts to transfer scientific knowledge into socially desirable applications underscores the importance of sufficient basic public funding for free basic research.,0.1178569421172142,0.2946765124797821,0.01656743511557579,0.42556288838386536,0.1346053183078766,0.01073091384023428
"a dominant dependence on third-party funding led to a change in the academic culture in the institutes concerned, which impacted the knowledge production itself.",0.04345951974391937,0.09173644334077835,0.005930604878813028,0.34633225202560425,0.4996068477630615,0.01293428149074316
"social innovations are regulations, activities and procedures that deviate from the usual pattern and have societal consequences and contribute more sustainably to solving social problems.",0.10104145854711533,0.34945952892303467,0.02582535333931446,0.39237767457962036,0.11328750103712082,0.01800842210650444
"social innovations are increasingly made by citizens, civil society organizations and politics and are seen as contribution to increasing the quality of life and overcoming structural challenges.",0.16011914610862732,0.131276473402977,0.0060907513834536076,0.6215118169784546,0.07515129446983337,0.005850490182638168
"social innovations are being developed within applicable innovation research concepts, in order to be able to use the potentials more systematically.",0.019397905096411705,0.8945406675338745,0.007297978736460209,0.053128354251384735,0.02150006592273712,0.004135065246373415
the shift towards more attention to social innovations goes hand in hand with an increasing political orientation towards social needs.,0.051431093364953995,0.5993513464927673,0.0122868986800313,0.2366415113210678,0.08577306568622589,0.014516127295792103
the range of tasks of civil society organizations is broadening and work with or on people is becoming more knowledge-based and professional.,0.06431896984577179,0.5597644448280334,0.009485188871622086,0.277595192193985,0.07967130839824677,0.009164754301309586
the integration of common values ​​in companies and philanthropic projects gained importance.,0.08735216408967972,0.02156844735145569,0.00773250637575984,0.713454008102417,0.1651354879140854,0.004757361952215433
civil society organizations such as the german red cross are increasingly expressing the need to optimize their processes through scientific support.,0.10670121759176254,0.6023819446563721,0.010179092176258564,0.1893557906150818,0.07983274757862091,0.011549280025064945
social innovations represent a key to addressing societal needs.,0.04550552740693092,0.5486264228820801,0.005949073471128941,0.18358246982097626,0.20712238550186157,0.009214017540216446
obstacles to social innovations are the diversity of social practices and the lack of awareness of innovation potential.,0.0279309693723917,0.8061150312423706,0.011315573006868362,0.11669854074716568,0.03266703337430954,0.005272925365716219
"there is no uniform understanding of social innovations, their conditions and consequences, their dynamics are relatively unclear.",0.059594012796878815,0.16181592643260956,0.009263036772608757,0.555671751499176,0.1980580985546112,0.015597178600728512
a close interlinking of social and technical innovations increase the potential for solutions for society as a whole.,0.10850896686315536,0.4466189444065094,0.013796497136354446,0.1980890929698944,0.22743922472000122,0.005547258537262678
"problems such as mass unemployment, the erosion of social security systems and the aggravation ecological risks will not be manageable without the implementation of social innovations.",0.09675813466310501,0.2526118755340576,0.012190529145300388,0.37311235070228577,0.25386273860931396,0.011464368551969528
"little is known about the differences between social innovations and technical innovations, as well as the benefits and costs of implementation and necessary adjustments in the environment.",0.028467927128076553,0.6735503673553467,0.004876633174717426,0.2003154307603836,0.08041683584451675,0.01237280573695898
"the integration of social innovations requires additional skills such as a holistic understanding of individual and collective needs and the practices to meet them, as well as creativity, willingness to learn and trust.",0.04356905445456505,0.35393378138542175,0.01685885339975357,0.11334703862667084,0.45845356583595276,0.013837755657732487
"the systematic analysis and targeted raising of social innovation potential is very promising. social innovations complement, trigger or even replace technical innovations.",0.08581729233264923,0.22454479336738586,0.023426443338394165,0.537120521068573,0.11325842887163162,0.01583249308168888
discrimination against women in large parts of the world is still evident.,0.16124089062213898,0.6022517681121826,0.006396160926669836,0.13371044397354126,0.08826427906751633,0.00813647173345089
"discrimination against women is reflected in poorer educational opportunities, more difficult access to certain areas of the working world and high hurdles for assuming political offices and mandates.",0.027754487469792366,0.152726411819458,0.0075464872643351555,0.13537678122520447,0.6413037180900574,0.03529209643602371
"current studies show that the life chances of women, especially in developing and emerging countries, are beginning to improve significantly in many areas of life, while the relationships between the sexes are developing.",0.04233560338616371,0.09430425614118576,0.009596011601388454,0.7314132452011108,0.11175811290740967,0.010592739097774029
38% of all small businesses are run by women.,0.0568540059030056,0.42606037855148315,0.011515054851770401,0.3344898521900177,0.16486258804798126,0.0062181176617741585
women in developing countries make up 17% of the industrial workforce and 24% of those employed in the service sector.,0.028368478640913963,0.8103287220001221,0.0057920413091778755,0.06263090670108795,0.07975204288959503,0.01312786340713501
"worldwide, women represent 40% of employees, 43% of agricultural workers and - for the first time in history - more than half of the student body.",0.027013445273041725,0.6664133667945862,0.006558607332408428,0.1075359433889389,0.18776187300682068,0.004716780036687851
attendance at tertiary education by women has increased sevenfold since 1970.,0.10954634845256805,0.021691396832466125,0.004655737895518541,0.7072598934173584,0.15245136618614197,0.0043952283449471
more girls attend secondary school than boys.,0.0423697903752327,0.6100485920906067,0.007667487021535635,0.15951861441135406,0.1692090481519699,0.011186564341187477
"women are increasingly fighting for personal and economic freedom, especially in developing countries, they often act as drivers for fundamental positive changes in political.",0.07867687195539474,0.5261963605880737,0.012712347321212292,0.2633592486381531,0.10683342814445496,0.012221684679389
